nappedia_file,bytes,sc_twin_path,code_refs,nappedia_urls,date_added,last_edited
avocado_bali.jpg,890914,C:/Users/chris/standardcommand/public/assets/creative/bali_gallery/avocado_bali.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
avocado_green_cutaway.jpg,965734,C:/Users/chris/standardcommand/public/assets/illustrations/avocado_green_cutaway.jpg,public/compare.html;public/mockups/compare.html;public/nappedia_quiz_interactive_v2.html;public/preview_nappedia_teardowns.html;public/quiz.html;public/sleep-quiz-v2.html,/compare;(mockup) /mockups/compare;/nappedia_quiz_interactive_v2;/preview_nappedia_teardowns,2026-09-03,2026-09-05
bali_clean_air.jpg,878796,C:/Users/chris/standardcommand/public/assets/illustrations/bali_clean_air.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
bali_cliffside_sanctuary.jpg,947565,C:/Users/chris/standardcommand/public/assets/illustrations/bali_cliffside_sanctuary.jpg,,,2026-09-02,2026-09-02
bali_cooling_airflow.jpg,953315,C:/Users/chris/standardcommand/public/assets/illustrations/bali_cooling_airflow.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
bali_editorial_exact_blend.jpg,802671,C:/Users/chris/standardcommand/public/assets/illustrations/bali_editorial_exact_blend.jpg,,,2026-09-02,2026-09-02
bali_editorial_wide_veranda.jpg,937151,C:/Users/chris/standardcommand/public/assets/illustrations/bali_editorial_wide_veranda.jpg,,,2026-09-02,2026-09-06
bali_flame_barrier.jpg,942741,C:/Users/chris/standardcommand/public/assets/illustrations/bali_flame_barrier.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
bali_heavy_duty.jpg,919758,C:/Users/chris/standardcommand/public/assets/illustrations/bali_heavy_duty.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-06,2026-09-06
bali_japandi_editorial_v1.jpg,816873,C:/Users/chris/standardcommand/public/assets/illustrations/bali_japandi_editorial_v1.jpg,public/index.html;public/mockups/modular-clean-home.html;public/modular-clean-home.html,/;(mockup) /mockups/modular-clean-home;/modular-clean-home,2026-09-02,2026-09-02
